JobID	ExitCode	State	MaxRSS	Elapsed
27127630_29	0:0	COMPLETED		00:04:41
27127630_29.batch	0:0	COMPLETED	363104K	00:04:41
27127630_29.extern	0:0	COMPLETED		00:04:41
27127630_30	0:0	COMPLETED		01:03:12
27127630_30.batch	0:0	COMPLETED	1234572K	01:03:12
27127630_30.extern	0:0	COMPLETED		01:03:12
27127630_31	0:0	COMPLETED		00:45:37
27127630_31.batch	0:0	COMPLETED	1278320K	00:45:37
27127630_31.extern	0:0	COMPLETED		00:45:37
27127630_32	0:0	COMPLETED		00:16:57
27127630_32.batch	0:0	COMPLETED	1084788K	00:16:57
27127630_32.extern	0:0	COMPLETED		00:16:57
27127630_33	0:0	COMPLETED		00:24:01
27127630_33.batch	0:0	COMPLETED	819716K	00:24:01
27127630_33.extern	0:0	COMPLETED		00:24:01
27127630_34	0:0	COMPLETED		00:17:12
27127630_34.batch	0:0	COMPLETED	1012732K	00:17:12
27127630_34.extern	0:0	COMPLETED		00:17:12
27127630_35	0:0	COMPLETED		00:50:07
27127630_35.batch	0:0	COMPLETED	1005640K	00:50:07
27127630_35.extern	0:0	COMPLETED		00:50:07
27127630_36	0:0	COMPLETED		00:11:03
27127630_36.batch	0:0	COMPLETED	605556K	00:11:03
27127630_36.extern	0:0	COMPLETED		00:11:03
27127630_37	0:0	COMPLETED		00:20:49
27127630_37.batch	0:0	COMPLETED	758868K	00:20:49
27127630_37.extern	0:0	COMPLETED		00:20:49
27127630_38	0:0	COMPLETED		00:29:24
27127630_38.batch	0:0	COMPLETED	1048584K	00:29:24
27127630_38.extern	0:0	COMPLETED		00:29:24
27127630_39	0:0	COMPLETED		00:05:05
27127630_39.batch	0:0	COMPLETED	585096K	00:05:05
27127630_39.extern	0:0	COMPLETED		00:05:05
27127630_40	0:0	COMPLETED		00:29:58
27127630_40.batch	0:0	COMPLETED	930456K	00:29:58
27127630_40.extern	0:0	COMPLETED		00:29:58
27127630_41	0:0	COMPLETED		01:21:03
27127630_41.batch	0:0	COMPLETED	1485716K	01:21:03
27127630_41.extern	0:0	COMPLETED		01:21:03
27127630_42	0:0	COMPLETED		00:14:10
27127630_42.batch	0:0	COMPLETED	714392K	00:14:10
27127630_42.extern	0:0	COMPLETED		00:14:10
27127630_44	0:0	COMPLETED		00:11:42
27127630_44.batch	0:0	COMPLETED	720192K	00:11:42
27127630_44.extern	0:0	COMPLETED		00:11:42
27127630_45	0:0	COMPLETED		00:11:10
27127630_45.batch	0:0	COMPLETED	575380K	00:11:10
27127630_45.extern	0:0	COMPLETED		00:11:10
27127630_46	0:0	COMPLETED		00:19:09
27127630_46.batch	0:0	COMPLETED	1214788K	00:19:09
27127630_46.extern	0:0	COMPLETED		00:19:09
27127630_47	0:0	COMPLETED		02:21:07
27127630_47.batch	0:0	COMPLETED	1335112K	02:21:07
27127630_47.extern	0:0	COMPLETED		02:21:07
27127630_48	0:0	COMPLETED		00:21:48
27127630_48.batch	0:0	COMPLETED	863316K	00:21:48
27127630_48.extern	0:0	COMPLETED		00:21:48
27127630_49	0:0	COMPLETED		00:17:07
27127630_49.batch	0:0	COMPLETED	1206816K	00:17:07
27127630_49.extern	0:0	COMPLETED		00:17:07
27127630_50	0:0	COMPLETED		00:45:15
27127630_50.batch	0:0	COMPLETED	1001348K	00:45:15
27127630_50.extern	0:0	COMPLETED		00:45:15
27127630_51	0:0	COMPLETED		00:34:14
27127630_51.batch	0:0	COMPLETED	1118508K	00:34:14
27127630_51.extern	0:0	COMPLETED		00:34:14
27127630_52	0:0	COMPLETED		00:11:01
27127630_52.batch	0:0	COMPLETED	765644K	00:11:01
27127630_52.extern	0:0	COMPLETED		00:11:01
27127630_53	0:0	COMPLETED		00:20:56
27127630_53.batch	0:0	COMPLETED	1312448K	00:20:56
27127630_53.extern	0:0	COMPLETED		00:20:56
27127630_54	0:0	COMPLETED		00:15:07
27127630_54.batch	0:0	COMPLETED	766780K	00:15:07
27127630_54.extern	0:0	COMPLETED		00:15:07
27127630_55	0:0	COMPLETED		00:15:27
27127630_55.batch	0:0	COMPLETED	2530156K	00:15:27
27127630_55.extern	0:0	COMPLETED		00:15:27
27127630_56	0:0	COMPLETED		00:11:22
27127630_56.batch	0:0	COMPLETED	1217572K	00:11:22
27127630_56.extern	0:0	COMPLETED		00:11:22
27127630_58	0:0	COMPLETED		00:24:21
27127630_58.batch	0:0	COMPLETED	997892K	00:24:21
27127630_58.extern	0:0	COMPLETED		00:24:21
27127630_59	0:0	COMPLETED		00:05:24
27127630_59.batch	0:0	COMPLETED	468984K	00:05:24
27127630_59.extern	0:0	COMPLETED		00:05:24
27127630_60	0:0	COMPLETED		00:12:28
27127630_60.batch	0:0	COMPLETED	765372K	00:12:28
27127630_60.extern	0:0	COMPLETED		00:12:28
27127630_61	0:0	COMPLETED		00:14:57
27127630_61.batch	0:0	COMPLETED	986728K	00:14:57
27127630_61.extern	0:0	COMPLETED		00:14:57
27127630_62	0:0	COMPLETED		00:19:45
27127630_62.batch	0:0	COMPLETED	1044948K	00:19:45
27127630_62.extern	0:0	COMPLETED		00:19:45
27127630_63	0:0	COMPLETED		00:57:44
27127630_63.batch	0:0	COMPLETED	1675668K	00:57:44
27127630_63.extern	0:0	COMPLETED		00:57:44
27127630_64	0:0	COMPLETED		00:22:59
27127630_64.batch	0:0	COMPLETED	1308400K	00:22:59
27127630_64.extern	0:0	COMPLETED		00:22:59
27127630_66	0:0	COMPLETED		00:09:07
27127630_66.batch	0:0	COMPLETED	559952K	00:09:07
27127630_66.extern	0:0	COMPLETED		00:09:07
27127630_67	0:0	COMPLETED		00:10:07
27127630_67.batch	0:0	COMPLETED	519220K	00:10:07
27127630_67.extern	0:0	COMPLETED		00:10:07
27127630_68	0:0	COMPLETED		00:06:45
27127630_68.batch	0:0	COMPLETED	705336K	00:06:45
27127630_68.extern	0:0	COMPLETED		00:06:45
27127630_69	0:0	COMPLETED		01:51:50
27127630_69.batch	0:0	COMPLETED	3640124K	01:51:50
27127630_69.extern	0:0	COMPLETED		01:51:50
27127630_70	0:0	COMPLETED		00:20:10
