JobID|ExitCode|State|MaxRSS|Elapsed
13936577_51|0:0|COMPLETED||03:13:26
13936577_51.batch|0:0|COMPLETED|391847K|03:13:26
13936577_51.extern|0:0|COMPLETED|740K|03:13:29
13936577_52|0:0|COMPLETED||01:26:05
13936577_52.batch|0:0|COMPLETED|390727K|01:26:05
13936577_52.extern|0:0|COMPLETED|742K|01:26:07
13936577_53|0:0|COMPLETED||03:43:38
13936577_53.batch|0:0|COMPLETED|388320K|03:43:38
13936577_53.extern|0:0|COMPLETED|740K|03:43:41
13936577_54|0:0|COMPLETED||03:33:39
13936577_54.batch|0:0|COMPLETED|386183K|03:33:39
13936577_54.extern|0:0|COMPLETED|740K|03:33:42
13936577_55|0:0|COMPLETED||02:57:49
13936577_55.batch|0:0|COMPLETED|388328K|02:57:49
13936577_55.extern|0:0|COMPLETED|742K|02:58:04
13936577_56|0:0|COMPLETED||03:58:00
13936577_56.batch|0:0|COMPLETED|392666K|03:58:00
13936577_56.extern|0:0|COMPLETED|740K|03:58:04
13936577_57|0:0|COMPLETED||03:59:10
13936577_57.batch|0:0|COMPLETED|393006K|03:59:10
13936577_57.extern|0:0|COMPLETED|742K|03:59:13
13936577_58|0:0|COMPLETED||00:10:30
13936577_58.batch|0:0|COMPLETED|381467K|00:10:30
13936577_58.extern|0:0|COMPLETED|740K|00:10:51
13936577_59|0:0|COMPLETED||03:37:59
13936577_59.batch|0:0|COMPLETED|389493K|03:37:59
13936577_59.extern|0:0|COMPLETED|740K|03:38:02
13936577_60|0:0|COMPLETED||02:41:32
13936577_60.batch|0:0|COMPLETED|388320K|02:41:32
13936577_60.extern|0:0|COMPLETED|746K|02:41:35
13936577_61|0:0|COMPLETED||02:59:35
13936577_61.batch|0:0|COMPLETED|387854K|02:59:35
13936577_61.extern|0:0|COMPLETED|744K|03:00:06
13936577_62|0:0|COMPLETED||03:40:17
13936577_62.batch|0:0|COMPLETED|391887K|03:40:17
13936577_62.extern|0:0|COMPLETED|744K|03:40:17
13936577_63|1:0|FAILED||00:00:57
13936577_63.batch|1:0|FAILED|816K|00:00:57
13936577_63.extern|0:0|COMPLETED|748K|00:01:05
13936577_64|1:0|FAILED||00:01:04
13936577_64.batch|1:0|FAILED|818K|00:01:04
13936577_64.extern|0:0|COMPLETED|746K|00:01:10
13936577_65|0:0|COMPLETED||03:58:04
13936577_65.batch|0:0|COMPLETED|388174K|03:58:04
13936577_65.extern|0:0|COMPLETED|750K|03:58:05
13936577_66|0:0|COMPLETED||03:30:23
13936577_66.batch|0:0|COMPLETED|388199K|03:30:23
13936577_66.extern|0:0|COMPLETED|750K|03:30:23
13936577_67|0:0|COMPLETED||03:18:06
13936577_67.batch|0:0|COMPLETED|388804K|03:18:06
13936577_67.extern|0:0|COMPLETED|750K|03:18:08
13936577_68|0:0|COMPLETED||03:07:33
13936577_68.batch|0:0|COMPLETED|388284K|03:07:33
13936577_68.extern|0:0|COMPLETED|752K|03:07:34
13936577_69|0:0|COMPLETED||03:30:52
13936577_69.batch|0:0|COMPLETED|388138K|03:30:52
13936577_69.extern|0:0|COMPLETED|752K|03:30:52
13936577_70|0:0|COMPLETED||03:00:30
13936577_70.batch|0:0|COMPLETED|388413K|03:00:30
13936577_70.extern|0:0|COMPLETED|752K|03:00:32
13936577_71|0:0|COMPLETED||02:36:53
13936577_71.batch|0:0|COMPLETED|388505K|02:36:53
13936577_71.extern|0:0|COMPLETED|746K|02:36:54
13936577_72|0:0|COMPLETED||04:05:50
13936577_72.batch|0:0|COMPLETED|393890K|04:05:50
13936577_72.extern|0:0|COMPLETED|740K|04:05:50
13936577_73|0:0|COMPLETED||03:50:24
13936577_73.batch|0:0|COMPLETED|388486K|03:50:24
13936577_73.extern|0:0|COMPLETED|742K|03:50:26
13936577_74|0:0|COMPLETED||03:07:23
13936577_74.batch|0:0|COMPLETED|390094K|03:07:23
13936577_74.extern|0:0|COMPLETED|738K|03:07:25
13936577_75|0:0|COMPLETED||02:34:01
13936577_75.batch|0:0|COMPLETED|390874K|02:34:01
13936577_75.extern|0:0|COMPLETED|738K|02:34:35
13936577_76|0:0|COMPLETED||02:49:11
13936577_76.batch|0:0|COMPLETED|388080K|02:49:11
13936577_76.extern|0:0|COMPLETED|742K|02:49:12
13936577_77|0:0|COMPLETED||03:08:35
13936577_77.batch|0:0|COMPLETED|388120K|03:08:35
13936577_77.extern|0:0|COMPLETED|740K|03:08:36
13936577_78|1:0|FAILED||00:02:54
13936577_78.batch|1:0|FAILED|810K|00:02:54
